window,scenario,greedy_nominal_lfr,greedy_nominal_stockout,greedy_nominal_time,greedy_nominal_n_listed,dp_nominal_lfr,dp_nominal_stockout,dp_nominal_time,dp_nominal_n_listed,cpsat_nominal_lfr,cpsat_nominal_stockout,cpsat_nominal_time,cpsat_nominal_n_listed,greedy_robust_lfr,greedy_robust_stockout,greedy_robust_time,greedy_robust_n_listed,dp_robust_lfr,dp_robust_stockout,dp_robust_time,dp_robust_n_listed,cpsat_robust_lfr,cpsat_robust_stockout,cpsat_robust_time,cpsat_robust_n_listed
11,high_volatility,0.18164182223679085,0.868474232324614,0.0008530616760253906,37,0.19855479288498823,0.8486172512623098,17.0366690158844,45,0.1895448083459769,0.8521714593043471,0.34946703910827637,44,0.16795221844641273,0.8650979810883185,0.00034165382385253906,35,0.18092213212857566,0.8444498814404724,16.8183491230011,42,0.1769517197233655,0.854075956830662,0.12134909629821777,40
12,high_volatility,0.17394838214598127,0.866449593855486,0.00030493736267089844,37,0.1899434313834719,0.8459223926657742,17.1227548122406,45,0.1806854863790205,0.8519387255149381,0.11366510391235352,43,0.15596024711495068,0.8651452359967833,0.0003681182861328125,35,0.17172537278662087,0.8470567638084344,16.6313898563385,41,0.16179992010982008,0.8514274023528732,0.12497687339782715,39
13,high_volatility,0.17456013254892508,0.859415467476644,0.0003731250762939453,36,0.1876720279743857,0.8341452179026014,17.035164833068848,45,0.1857240233038029,0.838920345990711,0.2599921226501465,44,0.1559179194651156,0.8609287721442956,0.0003457069396972656,34,0.17213718013596832,0.8409707517604835,16.767067909240723,40,0.16685820363078757,0.8457910448034687,0.10369205474853516,39
14,high_volatility,0.19947369438494925,0.8544150221662145,0.0003101825714111328,36,0.21961411296167213,0.8260826441512674,16.932125091552734,45,0.2107581605021964,0.8332939547087267,0.09594106674194336,43,0.18941433827709453,0.8596860112781803,0.0004181861877441406,34,0.2082040124842832,0.8358188701655139,16.677618741989136,41,0.19921683529555018,0.8479392053640339,0.07918524742126465,38
15,high_volatility,0.17131910212601048,0.8542965988949747,0.0003452301025390625,36,0.18159579403430104,0.8261686543253223,17.019402027130127,45,0.17586303792160193,0.832505996436559,0.0962519645690918,43,0.15678623097820304,0.8589572918836044,0.0003287792205810547,34,0.1698800779141932,0.8341023903174262,16.73739790916443,41,0.15987214009889897,0.8404587511878812,0.16097092628479004,39
16,high_volatility,0.17309883508865304,0.8459725341207779,0.00031304359436035156,37,0.19437508154389677,0.8153815941788298,16.938058137893677,46,0.186242889482464,0.8267731463255746,0.3229482173919678,43,0.15824891183669795,0.8571902017672247,0.00040411949157714844,34,0.18267417616092727,0.8302019162627464,16.706927061080933,41,0.16812332876262706,0.8358651466385212,0.11772608757019043,39
17,high_volatility,0.16471854453603132,0.8401775677701478,0.0003960132598876953,38,0.18768151104474307,0.8133515705947425,17.02290987968445,46,0.17887031328951108,0.8209369494896744,0.13426923751831055,44,0.14900481308567967,0.8506726015111095,0.00033473968505859375,34,0.16502444431021004,0.8221844917060153,16.67480778694153,41,0.1583522322202246,0.829817293221432,0.10492992401123047,39
18,high_volatility,0.20621854234290343,0.853670240541834,0.00032401084899902344,37,0.22726207410512206,0.830290006190213,16.944098949432373,45,0.2209988993147489,0.8395332040650237,0.08733487129211426,43,0.18259785690741134,0.8627145175326163,0.0003960132598876953,33,0.1997874392472274,0.8330095183112967,16.77080512046814,41,0.19326488744891399,0.8411611511698137,0.08877801895141602,39
19,high_volatility,0.18395868286398348,0.8488754172658637,0.0003490447998046875,38,0.19859237928702198,0.8229399901648992,17.05024480819702,46,0.19597338987167853,0.8363221798909468,0.25037503242492676,43,0.16266337581954426,0.8570910930902036,0.00037407875061035156,34,0.18191055203797907,0.8295470360633065,16.748172998428345,42,0.17600647561549143,0.8402596454924788,0.12717795372009277,39
20,high_volatility,0.158219252241697,0.8636260848766132,0.0003349781036376953,37,0.1703143613304666,0.8348819552420055,17.025794982910156,46,0.16386419305218383,0.8444080223930948,0.19179701805114746,43,0.1431537353682965,0.8680104848434731,0.00036716461181640625,34,0.15655011457744356,0.8404125844166779,16.835758924484253,42,0.14889406160601437,0.8476579319784885,0.1793358325958252,40
21,high_volatility,0.22779626073517212,0.8540688126860045,0.0003750324249267578,38,0.24553044704280316,0.8317372106968145,17.144263982772827,46,0.23675029029187197,0.8414643943373064,0.1495349407196045,43,0.20416995396680931,0.8628761548644225,0.0004012584686279297,34,0.21989145021994305,0.8338847709559508,16.74386501312256,42,0.21221709269164848,0.8450280656833207,0.09619307518005371,39
22,high_volatility,0.20294378689645742,0.8310102649197273,0.0002989768981933594,39,0.22461632056538397,0.8092031615815916,16.982054948806763,46,0.2164531438976274,0.8192497623862471,0.14693093299865723,43,0.1749332758532625,0.8423620994099585,0.0003669261932373047,35,0.1981310487823249,0.815357357722426,16.80066990852356,42,0.19054471807142226,0.8231586077595135,0.10204815864562988,40
23,high_volatility,0.1859959681717485,0.8399320383176254,0.0002982616424560547,39,0.2087037960728131,0.8129661486810417,17.273131847381592,47,0.19942794822588997,0.8235085459784354,0.1593160629272461,44,0.1687122446607708,0.8437964238276164,0.0003159046173095703,36,0.18620149521820137,0.8168638751076199,16.783618927001953,43,0.18228331934832193,0.8274263281774046,0.19013500213623047,41
24,high_volatility,0.21340138010800389,0.8390501934123616,0.000308990478515625,40,0.22479321619525258,0.8172607600125752,17.14674687385559,48,0.21411599981145715,0.827294651350216,0.13173699378967285,45,0.19338618074816905,0.8488237373772596,0.0003838539123535156,36,0.20376761799102652,0.8269045251423478,16.930588960647583,43,0.1939756065259545,0.8361708493520809,0.1397099494934082,40
25,high_volatility,0.20209024677150977,0.8555063922458455,0.0003070831298828125,39,0.21529757279717598,0.8307940809787903,17.155495166778564,47,0.21023145612050204,0.840052974641282,0.13146090507507324,45,0.17846231352523723,0.8609748538127293,0.0003361701965332031,35,0.19418954290654036,0.8360637061965396,16.92837619781494,43,0.18994529518132847,0.848880114886398,0.19677519798278809,40
26,high_volatility,0.20148334113647734,0.8543885012637757,0.0002741813659667969,39,0.2118976980681003,0.8262748358996401,17.21385407447815,48,0.20437903901180748,0.8428086933742805,0.11520195007324219,44,0.18259514842844884,0.8584967483754978,0.0003497600555419922,36,0.19295747607619346,0.8337478960166865,16.846550941467285,43,0.18854048334574,0.8416221359300772,0.10425925254821777,41
27,high_volatility,0.211181443830975,0.8353226546817172,0.0003230571746826172,39,0.23987597418140483,0.8188000438201439,17.091978073120117,46,0.22743067981656312,0.8256888000432261,0.1280069351196289,44,0.19260640694301487,0.8442323769407907,0.0003719329833984375,36,0.21096887246331658,0.8228170034482497,17.00454020500183,43,0.20559104242779713,0.8283278136878015,0.12266898155212402,41
28,high_volatility,0.16866607307311618,0.8513616673954907,0.00028705596923828125,39,0.18123885777120657,0.8272570131260321,17.326040983200073,48,0.1769767669443038,0.8401606471205944,0.1416459083557129,45,0.1522097431092933,0.8548680041495796,0.00039315223693847656,36,0.16839847109480716,0.8335730087049567,16.941911220550537,44,0.16010649150720088,0.8377514129131569,0.12633514404296875,42
