window,scenario,algorithm,test_start,test_end,basket_ofr,basket_lfr,basket_qfr,n_orders,n_lines,total_qty
23,high_volatility,cpsat_nominal,2016-08-07,2016-08-13,0.0519730510105871,0.02771141901576684,0.021603440597185573,1039,2093,3008.7799999999997
23,high_volatility,cpsat_robust,2016-08-07,2016-08-13,0.05101058710298364,0.027233635929288104,0.021271079972613488,1039,2093,3008.7799999999997
23,high_volatility,dp_nominal,2016-08-07,2016-08-13,0.05774783445620789,0.030578117534639272,0.02426232559376226,1039,2093,3008.7799999999997
23,high_volatility,dp_robust,2016-08-07,2016-08-13,0.05389797882579403,0.02866698518872432,0.022932883095473915,1039,2093,3008.7799999999997
23,high_volatility,greedy_nominal,2016-08-07,2016-08-13,0.04908565928777671,0.026278069756330624,0.020606358723469314,1039,2093,3008.7799999999997
23,high_volatility,greedy_robust,2016-08-07,2016-08-13,0.04523580365736285,0.024366937410415672,0.019276916225180973,1039,2093,3008.7799999999997
23,large_scale,cpsat_nominal,2016-08-07,2016-08-13,0.04908565928777671,0.024366937410415672,0.018612194976036802,1039,2093,3008.7799999999997
23,large_scale,cpsat_robust,2016-08-07,2016-08-13,0.03176130895091434,0.015766841853798376,0.011632621860023,1039,2093,3008.7799999999997
23,large_scale,dp_nominal,2016-08-07,2016-08-13,0.0548604427333975,0.027233635929288104,0.020606358723469314,1039,2093,3008.7799999999997
23,large_scale,dp_robust,2016-08-07,2016-08-13,0.03753609239653513,0.018633540372670808,0.0139591462320276,1039,2093,3008.7799999999997
23,large_scale,greedy_nominal,2016-08-07,2016-08-13,0.0356111645813282,0.017677974199713332,0.013626785607455515,1039,2093,3008.7799999999997
23,large_scale,greedy_robust,2016-08-07,2016-08-13,0.02791145332050048,0.01385570950788342,0.010303179361734657,1039,2093,3008.7799999999997
24,baseline,cpsat_nominal,2016-08-14,2016-08-20,0.08146821844225605,0.04521510096575944,0.03329504911783392,1117,2278,3273.76
24,baseline,cpsat_robust,2016-08-14,2016-08-20,0.06714413607878246,0.036435469710272166,0.02657494746102341,1117,2278,3273.76
24,baseline,dp_nominal,2016-08-14,2016-08-20,0.08415398388540735,0.046532045654082525,0.03482234494892723,1117,2278,3273.76
24,baseline,dp_robust,2016-08-14,2016-08-20,0.07341092211280215,0.03950834064969271,0.028713161624554027,1117,2278,3273.76
24,baseline,greedy_nominal,2016-08-14,2016-08-20,0.07162041181736795,0.03906935908691835,0.02901862079077269,1117,2278,3273.76
24,baseline,greedy_robust,2016-08-14,2016-08-20,0.05998209489704566,0.03160667251975417,0.02321489663261815,1117,2278,3273.76
24,high_volatility,cpsat_nominal,2016-08-14,2016-08-20,0.06266786034019696,0.033362598770851626,0.028713161624554027,1117,2278,3273.76
24,high_volatility,cpsat_robust,2016-08-14,2016-08-20,0.05550581915846016,0.02897278314310799,0.02596402912858609,1117,2278,3273.76
24,high_volatility,dp_nominal,2016-08-14,2016-08-20,0.06535362578334826,0.033801580333625986,0.029629539123210008,1117,2278,3273.76
24,high_volatility,dp_robust,2016-08-14,2016-08-20,0.05819158460161146,0.03028972783143108,0.02749132495967939,1117,2278,3273.76
24,high_volatility,greedy_nominal,2016-08-14,2016-08-20,0.05550581915846016,0.029850746268656716,0.02688040662724207,1117,2278,3273.76
24,high_volatility,greedy_robust,2016-08-14,2016-08-20,0.049239033124440466,0.025899912203687446,0.02352035579883681,1117,2278,3273.76
24,large_scale,cpsat_nominal,2016-08-14,2016-08-20,0.050134288272157566,0.026777875329236173,0.019549386637994232,1117,2278,3273.76
24,large_scale,cpsat_robust,2016-08-14,2016-08-20,0.04118173679498657,0.021071115013169446,0.015578417477151654,1117,2278,3273.76
24,large_scale,dp_nominal,2016-08-14,2016-08-20,0.051924798567591766,0.0276558384547849,0.02016030497043155,1117,2278,3273.76
24,large_scale,dp_robust,2016-08-14,2016-08-20,0.047448522829006266,0.024143985952589993,0.01771663164068227,1117,2278,3273.76
24,large_scale,greedy_nominal,2016-08-14,2016-08-20,0.04028648164726947,0.020632133450395083,0.015272958310932994,1117,2278,3273.76
24,large_scale,greedy_robust,2016-08-14,2016-08-20,0.03043867502238138,0.014925373134328358,0.011301989150090416,1117,2278,3273.76
25,baseline,cpsat_nominal,2016-08-21,2016-08-27,0.06288751107174491,0.03391959798994975,0.023668772436023874,1129,2388,3548.9799999999996
25,baseline,cpsat_robust,2016-08-21,2016-08-27,0.054030115146147036,0.02931323283082077,0.020287519230877606,1129,2388,3548.9799999999996
25,baseline,dp_nominal,2016-08-21,2016-08-27,0.07351638618246235,0.039782244556113906,0.02789533894245671,1129,2388,3548.9799999999996
25,baseline,dp_robust,2016-08-21,2016-08-27,0.05934455270150576,0.032244556113902846,0.022259916933879596,1129,2388,3548.9799999999996
25,baseline,greedy_nominal,2016-08-21,2016-08-27,0.05580159433126661,0.02847571189279732,0.019723977030019896,1129,2388,3548.9799999999996
25,baseline,greedy_robust,2016-08-21,2016-08-27,0.046058458813108945,0.023450586264656615,0.016342723824873628,1129,2388,3548.9799999999996
25,high_volatility,cpsat_nominal,2016-08-21,2016-08-27,0.05491585473870682,0.028056951423785594,0.02197814583345074,1129,2388,3548.9799999999996
25,high_volatility,cpsat_robust,2016-08-21,2016-08-27,0.05137289636846767,0.02554438860971524,0.01944220592959104,1129,2388,3548.9799999999996
25,high_volatility,dp_nominal,2016-08-21,2016-08-27,0.06023029229406555,0.030569514237855946,0.023668772436023874,1129,2388,3548.9799999999996
25,high_volatility,dp_robust,2016-08-21,2016-08-27,0.05225863596102746,0.025963149078726967,0.019723977030019896,1129,2388,3548.9799999999996
25,high_volatility,greedy_nominal,2016-08-21,2016-08-27,0.05137289636846767,0.025963149078726967,0.020287519230877606,1129,2388,3548.9799999999996
25,high_volatility,greedy_robust,2016-08-21,2016-08-27,0.04162976085031001,0.020938023450586266,0.015779181624015915,1129,2388,3548.9799999999996
25,large_scale,cpsat_nominal,2016-08-21,2016-08-27,0.043401240035429584,0.02219430485762144,0.015779181624015915,1129,2388,3548.9799999999996
25,large_scale,cpsat_robust,2016-08-21,2016-08-27,0.029229406554472984,0.014656616415410386,0.010425530715867659,1129,2388,3548.9799999999996
25,large_scale,dp_nominal,2016-08-21,2016-08-27,0.04428697962798937,0.022613065326633167,0.01606095272444477,1129,2388,3548.9799999999996
25,large_scale,dp_robust,2016-08-21,2016-08-27,0.03365810451727192,0.01675041876046901,0.012116157318440793,1129,2388,3548.9799999999996
25,large_scale,greedy_nominal,2016-08-21,2016-08-27,0.025686448184233834,0.012981574539363484,0.009298446314152236,1129,2388,3548.9799999999996
25,large_scale,greedy_robust,2016-08-21,2016-08-27,0.01948627103631532,0.010050251256281407,0.007326048611150247,1129,2388,3548.9799999999996
26,baseline,cpsat_nominal,2016-08-28,2016-09-03,0.09100998890122086,0.053417576105686385,0.038866663787654535,901,1741,2547.17
26,baseline,cpsat_robust,2016-08-28,2016-09-03,0.0932297447280799,0.05456634118322803,0.03965184891467786,901,1741,2547.17
26,baseline,dp_nominal,2016-08-28,2016-09-03,0.09544950055493896,0.05571510626076967,0.04043703404170118,901,1741,2547.17
26,baseline,dp_robust,2016-08-28,2016-09-03,0.09877913429522753,0.05743825387708214,0.04161481173223617,901,1741,2547.17
26,baseline,greedy_nominal,2016-08-28,2016-09-03,0.08213096559378469,0.04767375071797817,0.033370367898491266,901,1741,2547.17
26,baseline,greedy_robust,2016-08-28,2016-09-03,0.08102108768035517,0.04652498564043653,0.03258518277146794,901,1741,2547.17
26,high_volatility,cpsat_nominal,2016-08-28,2016-09-03,0.06104328523862375,0.03446295232624928,0.025518516628258027,901,1741,2547.17
26,high_volatility,cpsat_robust,2016-08-28,2016-09-03,0.05660377358490566,0.03159103963239517,0.023162961247188054,901,1741,2547.17
