window,scenario,algorithm,aggregated_lfr,basket_lfr,basket_ofr,proxy_gap_lfr
10,baseline,greedy_nominal,0.1803923073065157,0.10249007578491519,0.055716353111432707,0.07790223152160052
10,baseline,greedy_robust,0.1660566636121263,0.09274630097437749,0.05137481910274964,0.0733103626377488
10,high_volatility,cpsat_nominal,0.1951690476073237,0.10501623962468423,0.0426917510853835,0.09015280798263947
10,high_volatility,cpsat_robust,0.1856996529721061,0.09852038975099242,0.0426917510853835,0.08717926322111369
10,high_volatility,dp_nominal,0.2013347523331151,0.10754240346445326,0.04413892908827786,0.09379234886866183
10,high_volatility,dp_robust,0.1899893832697763,0.1014074341392999,0.04486251808972504,0.0885819491304764
10,high_volatility,greedy_nominal,0.1822925950599873,0.09779862865391556,0.04124457308248915,0.08449396640607174
10,high_volatility,greedy_robust,0.171178717957035,0.09130277878022375,0.03907380607814761,0.07987593917681124
10,large_scale,cpsat_nominal,0.0840968171905707,0.07217610970768676,0.03835021707670044,0.011920707482883944
10,large_scale,cpsat_robust,0.0751168255591598,0.06495849873691809,0.03256150506512301,0.010158326822241714
10,large_scale,dp_nominal,0.0911164464228262,0.0779501984843017,0.03979739507959479,0.0131662479385245
10,large_scale,dp_robust,0.0788994966393242,0.06676290147961025,0.03400868306801737,0.01213659515971395
10,large_scale,greedy_nominal,0.0770874637714155,0.06676290147961025,0.03473227206946455,0.010324562291805242
10,large_scale,greedy_robust,0.0665962437356486,0.0534103211836882,0.02894356005788712,0.013185922551960397
11,baseline,cpsat_nominal,0.1863816938365419,0.10657370517928287,0.056856187290969896,0.07980798865725904
11,baseline,cpsat_robust,0.1744501504567555,0.09694555112881806,0.05351170568561873,0.07750459932793743
11,baseline,dp_nominal,0.1943621949164127,0.11155378486055777,0.05819397993311037,0.08280841005585494
11,baseline,dp_robust,0.1837427293173626,0.10159362549800798,0.05618729096989967,0.08214910381935463
11,baseline,greedy_nominal,0.1797535911529176,0.09561752988047809,0.049498327759197325,0.08413606127243953
11,baseline,greedy_robust,0.1719268080609482,0.09096945551128818,0.04749163879598662,0.08095735254966002
11,high_volatility,cpsat_nominal,0.1895448083459769,0.10192563081009297,0.043478260869565216,0.08761917753588393
11,high_volatility,cpsat_robust,0.1769517197233655,0.0903054448871182,0.03545150501672241,0.08664627483624732
11,high_volatility,dp_nominal,0.1985547928849882,0.10391766268260293,0.04414715719063545,0.09463713020238528
11,high_volatility,dp_robust,0.1809221321285756,0.09528552456839309,0.03879598662207358,0.08563660756018251
11,high_volatility,greedy_nominal,0.1816418222367908,0.09528552456839309,0.03879598662207358,0.0863562976683977
11,high_volatility,greedy_robust,0.1679522184464127,0.08632138114209828,0.03277591973244147,0.08163083730431442
11,large_scale,cpsat_nominal,0.0782253707631267,0.06806108897742363,0.032107023411371234,0.01016428178570307
11,large_scale,cpsat_robust,0.0732060831205,0.06241699867197875,0.028762541806020066,0.010789084448521252
11,large_scale,dp_nominal,0.0843404079197602,0.07237715803452856,0.036120401337792644,0.011963249885231647
11,large_scale,dp_robust,0.0784814817749949,0.06573705179282868,0.032107023411371234,0.012744429982166211
11,large_scale,greedy_nominal,0.0760110355437234,0.06308100929614874,0.028762541806020066,0.012930026247574666
11,large_scale,greedy_robust,0.0646903230358874,0.052788844621513946,0.022073578595317726,0.011901478414373452
12,baseline,cpsat_nominal,0.1789701766234567,0.10477215644061715,0.061079545454545456,0.07419802018283957
12,baseline,cpsat_robust,0.1654053824898798,0.09436670254754216,0.056818181818181816,0.07103867994233763
12,baseline,dp_nominal,0.1907916175845427,0.11158952278435594,0.06889204545454546,0.07920209480018675
12,baseline,dp_robust,0.1740670819769211,0.1004664513814137,0.05894886363636364,0.07360063059550741
12,baseline,greedy_nominal,0.1697471169823438,0.09974883387154647,0.06178977272727273,0.06999828311079732
12,baseline,greedy_robust,0.152820744982277,0.08683171869393613,0.05113636363636364,0.06598902628834086
12,high_volatility,cpsat_nominal,0.1806854863790205,0.09903121636167922,0.045454545454545456,0.08165427001734127
12,high_volatility,cpsat_robust,0.16179992010982,0.09113742375313957,0.041193181818181816,0.07066249635668043
12,high_volatility,dp_nominal,0.1899434313834719,0.10405453893074991,0.04616477272727273,0.08588889245272198
12,high_volatility,dp_robust,0.1717253727866208,0.09795479009687837,0.045454545454545456,0.07377058268974244
12,high_volatility,greedy_nominal,0.1739483821459812,0.09580193756727665,0.045454545454545456,0.07814644457870457
12,high_volatility,greedy_robust,0.1559602471149506,0.0861141011840689,0.041193181818181816,0.0698461459308817
12,large_scale,cpsat_nominal,0.07946964727063,0.06099748833871547,0.03977272727272727,0.018472158931914527
12,large_scale,cpsat_robust,0.0714186899345081,0.0527448869752422,0.033380681818181816,0.018673802959265906
12,large_scale,dp_nominal,0.0826067527579992,0.06458557588805167,0.04261363636363636,0.01802117686994753
12,large_scale,dp_robust,0.0759485916520015,0.05848582705418012,0.03551136363636364,0.01746276459782138
12,large_scale,greedy_nominal,0.0736883464074982,0.05561535701471116,0.03622159090909091,0.018072989392787044
12,large_scale,greedy_robust,0.0641619468911859,0.04413347685683531,0.024147727272727272,0.02002847003435059
13,baseline,cpsat_nominal,0.1843618276450177,0.11101871101871102,0.06993569131832797,0.07334311662630669
13,baseline,cpsat_robust,0.172232850907944,0.10311850311850312,0.06028938906752412,0.06911434778944087
13,baseline,dp_nominal,0.1933114425746348,0.11517671517671518,0.07154340836012862,0.07813472739791963
13,baseline,dp_robust,0.1779988568433947,0.10478170478170479,0.06109324758842444,0.07321715206168991
13,baseline,greedy_nominal,0.1729572442633876,0.10145530145530146,0.058681672025723476,0.07150194280808614
13,baseline,greedy_robust,0.1581255887186563,0.09438669438669439,0.053858520900321546,0.06373889433196192
13,high_volatility,cpsat_nominal,0.1857240233038029,0.10478170478170479,0.05064308681672026,0.0809423185220981
13,high_volatility,cpsat_robust,0.1668582036307875,0.09688149688149689,0.04501607717041801,0.0699767067492906
