window,scenario,algorithm,test_start,test_end,basket_ofr,basket_lfr,basket_qfr,n_orders,n_lines,total_qty
24,large_scale,cpsat_robust,2016-08-14,2016-08-20,0.03939122649955237,0.06804214223002635,0.052233517423390836,1117,2278,3273.76
24,large_scale,dp_nominal,2016-08-14,2016-08-20,0.045658012533572066,0.08516242317822652,0.06659009823566785,1117,2278,3273.76
24,large_scale,dp_robust,2016-08-14,2016-08-20,0.04297224709042077,0.07418788410886742,0.056509945750452074,1117,2278,3273.76
24,large_scale,greedy_nominal,2016-08-14,2016-08-20,0.03670546105640107,0.07287093942054433,0.05803724158154538,1117,2278,3273.76
24,large_scale,greedy_robust,2016-08-14,2016-08-20,0.02864816472694718,0.056189640035118525,0.043069742436831045,1117,2278,3273.76
25,baseline,cpsat_nominal,2016-08-21,2016-08-27,0.053144375553587246,0.13400335008375208,0.10340999385739003,1129,2388,3548.9799999999996
25,baseline,cpsat_robust,2016-08-21,2016-08-27,0.049601417183348095,0.12185929648241206,0.09242092094066465,1129,2388,3548.9799999999996
25,baseline,dp_nominal,2016-08-21,2016-08-27,0.05934455270150576,0.13777219430485763,0.10622770486167858,1129,2388,3548.9799999999996
25,baseline,dp_robust,2016-08-21,2016-08-27,0.05580159433126661,0.1273031825795645,0.09608394524623978,1129,2388,3548.9799999999996
25,baseline,greedy_nominal,2016-08-21,2016-08-27,0.050487156775907885,0.12479061976549413,0.0946750897440955,1129,2388,3548.9799999999996
25,baseline,greedy_robust,2016-08-21,2016-08-27,0.046058458813108945,0.10720268006700168,0.07917767922050843,1129,2388,3548.9799999999996
25,high_volatility,cpsat_nominal,2016-08-21,2016-08-27,0.04428697962798937,0.11725293132328309,0.10143759615438804,1129,2388,3548.9799999999996
25,high_volatility,cpsat_robust,2016-08-21,2016-08-27,0.04428697962798937,0.10887772194304858,0.09101206543852038,1129,2388,3548.9799999999996
25,high_volatility,dp_nominal,2016-08-21,2016-08-27,0.050487156775907885,0.1226968174204355,0.10510062045996316,1129,2388,3548.9799999999996
25,high_volatility,dp_robust,2016-08-21,2016-08-27,0.04428697962798937,0.1109715242881072,0.09242092094066465,1129,2388,3548.9799999999996
25,high_volatility,greedy_nominal,2016-08-21,2016-08-27,0.04428697962798937,0.11222780569514237,0.09636571634666863,1129,2388,3548.9799999999996
25,high_volatility,greedy_robust,2016-08-21,2016-08-27,0.03808680248007086,0.09882747068676717,0.08368601682737013,1129,2388,3548.9799999999996
25,large_scale,cpsat_nominal,2016-08-21,2016-08-27,0.03720106288751107,0.0829145728643216,0.06255318429520595,1129,2388,3548.9799999999996
25,large_scale,cpsat_robust,2016-08-21,2016-08-27,0.025686448184233834,0.0745393634840871,0.054100051282340286,1129,2388,3548.9799999999996
25,large_scale,dp_nominal,2016-08-21,2016-08-27,0.03897254207263064,0.08710217755443886,0.06565266639992337,1129,2388,3548.9799999999996
25,large_scale,dp_robust,2016-08-21,2016-08-27,0.029229406554472984,0.07914572864321608,0.05804484668834426,1129,2388,3548.9799999999996
25,large_scale,greedy_nominal,2016-08-21,2016-08-27,0.024800708591674048,0.07537688442211055,0.057199533387057695,1129,2388,3548.9799999999996
