window,scenario,literature_nominal_lfr,literature_nominal_stockout,literature_nominal_time,literature_nominal_n_listed,literature_robust_lfr,literature_robust_stockout,literature_robust_time,literature_robust_n_listed
25,large_scale,0.09231044394979168,0.9264940526786539,0.4778289794921875,50,0.07818634082239882,0.9221588069966905,0.45284581184387207,46
26,large_scale,0.09078125797760801,0.9287360967023878,0.43689799308776855,51,0.08352225652928504,0.9279266371538426,0.46168994903564453,47
27,large_scale,0.09755269391107345,0.9190523789280679,0.4578578472137451,51,0.08753144867522046,0.9197976807012642,0.4495539665222168,47
28,large_scale,0.07428492438788384,0.9310717354106363,0.36927103996276855,47,0.07121281764088581,0.9257515636174718,0.4520282745361328,48
29,large_scale,0.08316769458434989,0.9345509862461753,0.4547257423400879,47,0.07460685805935936,0.9241971811425453,0.4978752136230469,48
30,large_scale,0.07942659844890637,0.9576208828653073,0.4323909282684326,48,0.07636920789312442,0.9482064523927587,0.5017569065093994,46
31,large_scale,0.0781359992747063,0.9278604474555419,0.47001194953918457,47,0.07267955202491257,0.9290558786486914,0.41084790229797363,42
32,large_scale,0.07462895971559068,0.9346116831041997,0.44080066680908203,48,0.06863190246247049,0.937595437479746,0.40392088890075684,42
33,large_scale,0.09106339435110121,0.9267708016484031,0.47028088569641113,50,0.07845010096432387,0.9300909184825773,0.41999101638793945,42
34,large_scale,0.08225665727953366,0.9331816961846252,0.4308810234069824,47,0.07586988203326142,0.9343509868894363,0.4774930477142334,41
35,large_scale,0.08765786455255205,0.9290451848403625,0.4356238842010498,47,0.07498020997428595,0.9317151068128486,0.4181828498840332,41
36,large_scale,0.09490344082645007,0.9267880099951399,0.47078609466552734,48,0.07974082869731623,0.9291876914467303,0.4023740291595459,42
37,large_scale,0.08991484723138131,0.9331219456838801,0.43975400924682617,48,0.08281514614336313,0.9370391448704128,0.39539098739624023,41
38,large_scale,0.09542301967581189,0.9356159185784982,0.4441237449645996,47,0.08242330855817345,0.9340406712436009,0.38325977325439453,41
39,large_scale,0.09272900739917286,0.9347093340035528,0.39424896240234375,49,0.07978265919910754,0.9342515712540597,0.38925695419311523,42
40,large_scale,0.09204308537232272,0.9336066438474424,0.4434480667114258,47,0.07470392920092786,0.931030205046881,0.41504812240600586,41
41,large_scale,0.08911608009386256,0.9437608661129724,0.4116191864013672,46,0.08107679173130808,0.9398522627327041,0.3839080333709717,42
42,large_scale,0.07825963736287783,0.9442941623029546,0.4207470417022705,44,0.07101414207441652,0.9432439938056457,0.42401885986328125,40
43,large_scale,0.08834168684552712,0.9390092571996609,0.42327404022216797,43,0.08224325335154666,0.933214132522216,0.4409029483795166,42
44,large_scale,0.10485496172748021,0.9276133995851112,0.3920619487762451,43,0.09843531514716676,0.9263673921122682,0.43748903274536133,41
